name,status,location,price,score,cuisines
Shorebreak Lodge,, Rehoboth Beach United States,★★,8.968238213399504,
Just In Thyme Restaurant,, Rehoboth Beach United States,★★,8.968238213399504,
The Rooftop,,Riverside Toronto Canada,★★,8.960049627791562,
Harvest Seasonal Grill - Newtown,, Newtown United States,★★,8.955955334987593,Wine Bar
Pinchers,,City of Marco Marco Island United States,★★,8.951861042183623,Seafood
Sea Salt,,Waterfront Arts District St. Petersburg United States,★★★,8.947766749379653,American Seafood
"Joe's Seafood, Prime Steak & Stone Crab",,Northwest Washington Washington D.C. ,★★★,8.947766749379653,American Seafood Steakhouse
Selva Downtown Sarasota,,Main Street Merchants Sarasota ,★★★,8.939578163771712,
Ophelia's on the Bay,,Osprey Village Sarasota ,★★★,8.939578163771712,
Portland Lobster Company,,"Old Port Portland, ME ",★★,8.931389578163772,Seafood
Black Whale Bar & Fish House,,North Beach Haven Beach Haven ,★★★,8.931389578163772,Seafood
State Street Steak & Seafood,, Doylestown United States,,8.92320099255583,Seafood
Karla's Restaurant,, New Hope United States,★★,8.92320099255583,American
Nantucket Tavern & Gazebo,,Brant Point Nantucket ,★★,8.915012406947891,American Burgers Seafood
Vault Smoke House,, Yardley United States,,8.910918114143922,
Continental Tavern,, Yardley United States,★★,8.910918114143922,
Verōnika,OPERATIONAL,Gramercy Park New York United States,★★★,8.90272952853598,European
The Goat's Beard,,South Wayne Historic District Wayne ,★★,8.90272952853598,American
Appalachian Brewing Company of Lititz,,Lititz Moravian Historic District Lititz ,★★,8.894540942928039,American Bar Food Brewery Dessert
The Mill Restaurant,,Central Arts District St. Petersburg United States,★★,8.894540942928039,American Southern
Sterling Pig Brewery,, Media United States,,8.8863523573201,Brewery
Swan Court,, Lahaina United States,,8.88225806451613,
Fette Sau,,Fishtown Philadelphia ,★★,8.87816377171216,Barbecue
Di Bruno Bros.,,Center City West Philadelphia ,★★,8.87816377171216,Market
Blue Heaven,,Bahama Village Key West ,,8.869975186104218,American
Tuna Bar,,Old City District Philadelphia ,★★★,8.865880893300249,Japanese Sushi
Beilers Doughnuts,,University City Philadelphia ,★,8.861786600496277,Donuts
Mike's Pastry,,North End Boston ,★,8.861786600496277,Bakery Dessert
Dizengoff,,Center City West Philadelphia ,★,8.861786600496277,Middle Eastern
Sandy Pony Donuts,, Annapolis United States,★,8.849503722084368,
Cook Out,, Alpharetta United States,★,8.845409429280398,
Root Down Brewing Company,, Phoenixville United States,,8.841315136476426,Brewery
Yocco's The Hot Dog King,, Allentown United States,,8.837220843672457,
Yocco's The Hot Dog King,, Allentown United States,★,8.837220843672457,
Yocco's The Hot Dog King,, Allentown United States,★,8.829032258064515,
Arnold's Country Kitchen,,The Gulch Nashville ,★,8.824937965260546,American Southern
Sonny's Famous Steaks,,Old City District Philadelphia ,★,8.820843672456576,American Sandwiches
Jim's South St.,,Queen Village Philadelphia ,★,8.816749379652606,American Cheesesteaks
Reading Terminal Mkt,,Center City Philadelphia United States,,8.812655086848636,Market
KC Prime,, Warrington United States,★★★,8.808560794044665,
Riverwinds Restaurant,, West Deptford United States,★★★,8.804466501240695,
No Name Pub,, Big Pine Key ,★★,8.800372208436725,Pub
Muddy Moose Restaurant & Pub,,North Conway Conway United States,★★,8.800372208436725,Pub
Fins Ale House & Raw Bar,, Rehoboth Beach United States,★★,8.792183622828784,Seafood
Claws Seafood House,, Rehoboth Beach United States,★★,8.788089330024814,Seafood
Pizzeria Stella,,Society Hill Philadelphia ,★★,8.783995037220844,Italian Pizza
Barbuzzo,,Gayborhood Philadelphia ,★★,8.783995037220844,Mediterranean
Stina Pizzeria,,Newbold Philadelphia ,,8.775806451612903,Pizza
Giacomo's Boston North End,OPERATIONAL,North End Boston ,★★,8.771712158808933,Italian
Thrasher's French Fries,, Rehoboth Beach United States,,8.767617866004963,
Salty Pineapple,, New Hope United States,,8.763523573200992,
Twenty Manning,,Rittenhouse Square Philadelphia ,★★,6.609293193717278,American
Giacomo's,,South End Boston ,★★,6.609293193717278,Italian
Royal Scoop Homemade Ice Cream,, Bonita Springs United States,★★,6.609293193717278,Ice Cream
Serafina Back Bay,,Back Bay Boston ,★★,6.609293193717278,Italian Pizza
